2025-10-25 15:23:14.636499 - T:27.4, H:91.4, C:1420.0, L:44.0
2025-10-25 15:23:24.429038 - T:27.4, H:91.3, C:1422.0, L:44.0
2025-10-25 15:23:34.598508 - T:27.4, H:91.3, C:1422.0, L:44.0
2025-10-25 15:23:44.529154 - T:27.4, H:91.4, C:1423.0, L:44.0
2025-10-25 15:23:54.794756 - T:27.3, H:91.5, C:1420.0, L:45.0
2025-10-25 15:24:04.677667 - T:27.4, H:91.4, C:1424.0, L:45.0
2025-10-25 15:24:14.990522 - T:27.4, H:91.4, C:1420.0, L:45.0
2025-10-25 15:24:30.086467 - T:27.4, H:91.5, C:1420.0, L:45.0
2025-10-25 15:59:39.652121 - T:27.4, H:91.5, C:1421.0, L:45.0
2025-10-25 16:20:24.678488 - T:27.6, H:90.8, C:1539.0, L:73.0
2025-10-25 16:20:34.782807 - T:27.6, H:90.9, C:1538.0, L:73.0
2025-10-25 16:20:44.875948 - T:27.6, H:90.9, C:1538.0, L:72.0
2025-10-25 16:20:54.794640 - T:27.6, H:90.9, C:1538.0, L:70.0
2025-10-25 16:21:04.830950 - T:27.6, H:91.0, C:1540.0, L:72.0
2025-10-25 16:21:14.868927 - T:27.6, H:91.0, C:1543.0, L:72.0
2025-10-25 16:21:25.073940 - T:27.6, H:91.1, C:1545.0, L:71.0
2025-10-25 16:21:34.914752 - T:27.5, H:91.0, C:1544.0, L:71.0
2025-10-25 16:21:44.879462 - T:27.6, H:91.0, C:1545.0, L:73.0
2025-10-25 16:21:54.785857 - T:27.6, H:91.1, C:1544.0, L:70.0
2025-10-25 16:22:04.844638 - T:27.6, H:91.2, C:1544.0, L:72.0
2025-10-25 16:22:14.987088 - T:27.5, H:91.2, C:1543.0, L:69.0
2025-10-25 16:22:24.841398 - T:27.6, H:91.7, C:1543.0, L:71.0
2025-10-25 16:22:35.173023 - T:27.6, H:92.1, C:1544.0, L:72.0
2025-10-25 16:22:44.888542 - T:27.6, H:92.2, C:1544.0, L:71.0
2025-10-25 16:22:55.323994 - T:27.6, H:91.7, C:1544.0, L:69.0
2025-10-25 16:23:04.931717 - T:27.6, H:91.3, C:1548.0, L:73.0
2025-10-25 16:23:14.849297 - T:27.5, H:91.1, C:1548.0, L:72.0
2025-10-25 16:23:24.958372 - T:27.5, H:91.1, C:1545.0, L:72.0
2025-10-25 16:23:35.261967 - T:27.5, H:91.1, C:1546.0, L:72.0
2025-10-25 16:23:44.840426 - T:27.6, H:91.2, C:1547.0, L:35.0
2025-10-25 16:23:55.083422 - T:27.6, H:91.2, C:1549.0, L:35.0
2025-10-25 16:24:04.911022 - T:27.6, H:91.4, C:1547.0, L:35.0
2025-10-25 16:24:14.856610 - T:27.6, H:91.5, C:1549.0, L:35.0
2025-10-25 16:24:24.923383 - T:27.5, H:91.6, C:1548.0, L:35.0
2025-10-25 16:24:34.855043 - T:27.5, H:91.7, C:1545.0, L:36.0
2025-10-25 16:25:54.396485 - T:27.5, H:91.7, C:1546.0, L:35.0
